user,comment,time,votes,Case Folding,stopword removal,Lemmatization,tokens,stemming
@MuhammadHanif-tj3dr,ini mah info standar,1 day ago,0,ini mah info standar,mah info standar,mah info standar,"['mah', 'info', 'standar']",mah info standar
@mohridha4137,​ @PalupiIrwantika ternak mulyono nih,1 day ago,1,ternak mulyono nih,ternak mulyono nih,ternak mulyono nih,"['ternak', 'mulyono', 'nih']",ternak mulyono nih
@afsanahendralaksita8928,kasihan ​ @PalupiIrwantika ,1 day ago,0,kasihan,kasihan,kasihan,['kasihan'],kasihan
@REYREY_REYHANSS,"Harus lah mereka dengar lu mental mental pemerintah Indonesia nya,",1 day ago,5,harus lah mereka dengar lu mental mental pemerintah indonesia nya,lah dengar lu mental mental pemerintah indonesia nya,lah dengar lu mental mental perintah indonesia nya,"['lah', 'dengar', 'lu', 'mental', 'mental', 'perintah', 'indonesia', 'nya']",lah dengar lu mental mental perintah indonesia nya
@wancukjie,"Beda kan menteri dari partai & professional? Menteri dr partai itu kyk tong kosong nyaring bunyinya. Jawaban nya template. Klo professional mmg cara ngomongnya sprti gini, lgsg pd intinya, gk basa basi.",1 day ago,10,beda kan menteri dari partai professional menteri dr partai itu kyk tong kosong nyaring bunyinya jawaban nya template klo professional mmg cara ngomongnya sprti gini lgsg pd intinya gk basa basi,beda kan menteri partai professional menteri dr partai kyk tong kosong nyaring bunyinya jawaban nya template klo professional mmg cara ngomongnya sprti gini lgsg pd intinya gk basa basi,beda kan menteri partai professional menteri dr partai kyk tong kosong nyaring bunyi jawab nya template klo professional mmg cara ngomongnya sprti gin lgsg pd inti gk basa basi,"['beda', 'kan', 'menteri', 'partai', 'professional', 'menteri', 'dr', 'partai', 'kyk', 'tong', 'kosong', 'nyaring', 'bunyi', 'jawab', 'nya', 'template', 'klo', 'professional', 'mmg', 'cara', 'ngomongnya', 'sprti', 'gin', 'lgsg', 'pd', 'inti', 'gk', 'basa', 'basi']",beda kan menteri partai professional menteri dr partai kyk tong kosong nyaring bunyi jawab nya template klo professional mmg cara ngomongnya sprti gin lgsg pd inti gk basa basi
@BudimanTigaDua,"itu era sebelumnya, era sekarang berubah, menkeu blak-blakan",1 day ago,23,itu era sebelumnya era sekarang berubah menkeu blakblakan,era sebelumnya era sekarang berubah menkeu blakblakan,era belum era sekarang ubah menkeu blakblakan,"['era', 'belum', 'era', 'sekarang', 'ubah', 'menkeu', 'blakblakan']",era era sekarang ubah menkeu blakblakan
@project2226,"Anyway, how financial freedom sounds at 57:50 😅",1 day ago (edited),6,anyway how financial freedom sounds at 5750,anyway how financial freedom sounds at,anyway how financial freedom sounds at,"['anyway', 'how', 'financial', 'freedom', 'sounds', 'at']",anyway how financial freedom sounds at
@project2226,"​ @MuhammadHanif-tj3dr iya Pak, tapi kebetulan ""standar"" akses informasi kita semua berbeda 😅",1 day ago,1,tj3dr iya pak tapi kebetulan standar akses informasi kita semua berbeda,tjdr iya pak kebetulan standar akses informasi semua berbeda,tjdr iya pak betul standar akses informasi semua beda,"['tjdr', 'iya', 'pak', 'betul', 'standar', 'akses', 'informasi', 'semua', 'beda']",tjdr iya pak betul standar akses informasi semua beda
@Abeed-hm8jr,"Diend game ini hal biasa, kalo lu suka nontonn end game",1 day ago,0,diend game ini hal biasa kalo lu suka nontonn end game,diend game hal biasa kalo lu suka nontonn end game,diend game hal biasa kalo lu suka nontonn end game,"['diend', 'game', 'hal', 'biasa', 'kalo', 'lu', 'suka', 'nontonn', 'end', 'game']",diend game biasa kalo lu suka nontonn end game
@rmdwiisnugroho5463,Heeh betul lagi wkkwkwkw,1 day ago,0,heeh betul lagi wkkwkwkw,heeh betul wkkwkwkw,heeh betul wkkwkwkw,"['heeh', 'betul', 'wkkwkwkw']",heeh betul wkkwkwkw
@Project22-oe2ry,"setujuu, ga semua pejabat bisa blak-blakan and se-eloquent ini in the same time",1 day ago,0,setujuu ga semua pejabat bisa blakblakan and seeloquent ini in the same time,setujuu ga semua pejabat blakblakan and seeloquent in the same time,setujuu ga semua jabat blakblakan and seeloquent in the same time,"['setujuu', 'ga', 'semua', 'jabat', 'blakblakan', 'and', 'seeloquent', 'in', 'the', 'same', 'time']",setujuu ga semua jabat blakblakan and seeloquent in the same time
@novikuspriyandari7998,​ @mohridha4137 ini lagi...dikit2 termul... hadeuh. Gak bisa kah mikir hal lain selain termul...😅,1 day ago,0,ini lagidikit2 termul hadeuh gak bisa kah mikir hal lain selain termul,lagidikit termul hadeuh gak kah mikir lain termul,lagidikit termul hadeuh gak kah mikir lain termul,"['lagidikit', 'termul', 'hadeuh', 'gak', 'kah', 'mikir', 'lain', 'termul']",lagidikit termul hadeuh gak mikir termul
@educateyoung,menurut saya ini poscast terbaik sepanjang tahun ini,1 day ago,12,menurut saya ini poscast terbaik sepanjang tahun ini,saya poscast terbaik sepanjang tahun,saya poscast baik panjang tahun,"['saya', 'poscast', 'baik', 'panjang', 'tahun']",poscast baik panjang tahun
@Kakiku_Go,😊😊,1 day ago,0,,,,[],
@YulitaMinyo,"Harus harus dengar, rakyat harus tau, rakyat bukan orang bodoh yang dianggap penting hanya saat kampanye.",22 hours ago,0,harus harus dengar rakyat harus tau rakyat bukan orang bodoh yang dianggap penting hanya saat kampanye,dengar rakyat harus tau rakyat bukan orang bodoh dianggap penting saat kampanye,dengar rakyat harus tau rakyat bukan orang bodoh anggap penting saat kampanye,"['dengar', 'rakyat', 'harus', 'tau', 'rakyat', 'bukan', 'orang', 'bodoh', 'anggap', 'penting', 'saat', 'kampanye']",dengar rakyat tau rakyat bukan orang bodoh anggap penting kampanye
@SPORT-pl8ue,Setuju wwkwk daging,22 hours ago,0,setuju wwkwk daging,setuju wwkwk daging,tuju wwkwk daging,"['tuju', 'wwkwk', 'daging']",tuju wwkwk daging
@premytb77,"Kagak men, lu gabakal denger yg kek gini menkeu sebelumnya.​ @MuhammadHanif-tj3dr ",22 hours ago,0,kagak men lu gabakal denger yg kek gini menkeu sebelumnya tj3dr,kagak men lu gabakal denger yg kek gini menkeu sebelumnya tjdr,kagak men lu gabakal denger yg kek gin menkeu belum tjdr,"['kagak', 'men', 'lu', 'gabakal', 'denger', 'yg', 'kek', 'gin', 'menkeu', 'belum', 'tjdr']",kagak men lu gabakal denger yg kek gin menkeu tjdr
@redonion2894,Kuliah ekonomi kelas purdue,21 hours ago,0,kuliah ekonomi kelas purdue,kuliah ekonomi kelas purdue,kuliah ekonomi kelas purdue,"['kuliah', 'ekonomi', 'kelas', 'purdue']",kuliah ekonomi kelas purdue
@happinestravelvlog,Hidupp King Cowboy Pur 😊,20 hours ago,0,hidupp king cowboy pur,hidupp king cowboy pur,hidupp king cowboy pur,"['hidupp', 'king', 'cowboy', 'pur']",hidupp king cowboy pur
@iwansetiawan-ti8vm,Kok relate ya komenannya😊,9 hours ago,0,kok relate ya komenannya,kok relate komenannya,kok relate komenannya,"['kok', 'relate', 'komenannya']",kok relate komenannya
@nosabasuang,"Wah keren pak, tontonannya beda👍",1 day ago,13,wah keren pak tontonannya beda,wah keren pak tontonannya beda,wah keren pak tonton beda,"['wah', 'keren', 'pak', 'tonton', 'beda']",wah keren pak tonton beda
@kembangjawafarm,gak ada kata cuman kalau untuk mencari rezeki halal untuk hidup. salut itu!.,1 day ago,74,gak ada kata cuman kalau untuk mencari rezeki halal untuk hidup salut itu,gak kata cuman kalau mencari rezeki halal hidup salut,gak kata cuman kalau cari rezeki halal hidup salut,"['gak', 'kata', 'cuman', 'kalau', 'cari', 'rezeki', 'halal', 'hidup', 'salut']",gak kata cuman kalau cari rezeki halal hidup salut
@indrilestari5138,"Serasa nonton berbayar dgn ilmu yg tinggi atas nara sumber berilmu, InSya Allah Indonesia menuju negara AK, Aamiin YRA",1 day ago,8,serasa nonton berbayar dgn ilmu yg tinggi atas nara sumber berilmu insya allah indonesia menuju negara ak aamiin yra,serasa nonton berbayar dgn ilmu yg tinggi atas nara sumber berilmu insya allah indonesia menuju negara ak aamiin yra,serasa nonton bayar dgn ilmu yg tinggi atas nara sumber beril insya allah indonesia tuju negara ak aamiin yra,"['serasa', 'nonton', 'bayar', 'dgn', 'ilmu', 'yg', 'tinggi', 'atas', 'nara', 'sumber', 'beril', 'insya', 'allah', 'indonesia', 'tuju', 'negara', 'ak', 'aamiin', 'yra']",serasa nonton bayar dgn ilmu yg tinggi atas nara sumber beril insya allah indonesia tuju negara ak aamiin yra
@alyu5eg,Saya cuma ibu rumah tangga tp suka obrolan ky gini ...,1 day ago,28,saya cuma ibu rumah tangga tp suka obrolan ky gini,cuma ibu rumah tangga tp suka obrolan ky gini,cuma ibu rumah tangga tp suka obrol ky gin,"['cuma', 'ibu', 'rumah', 'tangga', 'tp', 'suka', 'obrol', 'ky', 'gin']",cuma ibu rumah tangga tp suka obrol ky gin
@DiniFitria-t6l,Ayo mas sekolah biar spt bp MENKEU.,1 day ago,3,ayo mas sekolah biar spt bp menkeu,ayo mas sekolah biar spt bp menkeu,ayo mas sekolah biar spt bp menkeu,"['ayo', 'mas', 'sekolah', 'biar', 'spt', 'bp', 'menkeu']",ayo mas sekolah biar spt bp menkeu
@che_maulana,"gpp brok pekerjaanmu kotor tapi hasilnya bersih, drpd byk yg pekerjaannya “bersih” tapi hasilnya “kotor”!!! 🎉🎉🎉🎉",1 day ago,10,gpp brok pekerjaanmu kotor tapi hasilnya bersih drpd byk yg pekerjaannya bersih tapi hasilnya kotor,gpp brok pekerjaanmu kotor hasilnya bersih drpd byk yg pekerjaannya bersih hasilnya kotor,gpp brok kerja kotor hasil bersih drpd byk yg kerja bersih hasil kotor,"['gpp', 'brok', 'kerja', 'kotor', 'hasil', 'bersih', 'drpd', 'byk', 'yg', 'kerja', 'bersih', 'hasil', 'kotor']",gpp brok kerja kotor hasil bersih drpd byk yg kerja bersih hasil kotor
@MsDiana-uc6hv,"Selain koruptor dan pembalak hutan, kita semua hebat.",1 day ago,13,selain koruptor dan pembalak hutan kita semua hebat,koruptor pembalak hutan semua hebat,koruptor balak hutan semua hebat,"['koruptor', 'balak', 'hutan', 'semua', 'hebat']",koruptor balak hutan semua hebat
@abesofyan,"​ @alyu5eg bukan CUMA, tapi sebuah profesi mulia ❤",1 day ago,16,bukan cuma tapi sebuah profesi mulia,bukan cuma sebuah profesi mulia,bukan cuma buah profesi mulia,"['bukan', 'cuma', 'buah', 'profesi', 'mulia']",bukan cuma buah profesi mulia
@ullapalopo3091,Yg disampaikan mudah dipahami yg non ekonom data valid tanpa tedeng aling2👍,1 day ago,3,yg disampaikan mudah dipahami yg non ekonom data valid tanpa tedeng aling2,yg disampaikan mudah dipahami yg non ekonom data valid tedeng aling,yg sampai mudah paham yg non ekonom data valid tedeng aling,"['yg', 'sampai', 'mudah', 'paham', 'yg', 'non', 'ekonom', 'data', 'valid', 'tedeng', 'aling']",yg mudah paham yg non ekonom data valid tedeng aling
@AshKurenai,Informasi dan edukasi adalah hak semua orang kawan,1 day ago,4,informasi dan edukasi adalah hak semua orang kawan,informasi edukasi hak semua orang kawan,informasi edukasi hak semua orang kawan,"['informasi', 'edukasi', 'hak', 'semua', 'orang', 'kawan']",informasi edukasi hak semua orang kawan
@granadaibnuhajar417,wezzz keren,1 day ago,1,wezzz keren,wezzz keren,wezzz keren,"['wezzz', 'keren']",wezzz keren
@waflle.waffle,pengetahuan adalah hak semua manusia❤,1 day ago,1,pengetahuan adalah hak semua manusia,pengetahuan hak semua manusia,tahu hak semua manusia,"['tahu', 'hak', 'semua', 'manusia']",tahu hak semua manusia
@horisontal-one517,"Obrolan berbobot, terbuka yg jaman jkw gak mungkin dibuka untuk umum",1 day ago,1,obrolan berbobot terbuka yg jaman jkw gak mungkin dibuka untuk umum,obrolan berbobot terbuka yg jaman jkw gak mungkin dibuka umum,obrol bobot buka yg jaman jkw gak mungkin buka umum,"['obrol', 'bobot', 'buka', 'yg', 'jaman', 'jkw', 'gak', 'mungkin', 'buka', 'umum']",obrol bobot buka yg jaman jkw gak mungkin buka umum
@MasKabol-jm1fg,"saya petani kadang krja listrik klo ada panggilan,bisa nonton podcast ini senyum"" sndiri mrasa sneng bgt",1 day ago,2,saya petani kadang krja listrik klo ada panggilanbisa nonton podcast ini senyum sndiri mrasa sneng bgt,petani kadang krja listrik klo panggilanbisa nonton podcast senyum sndiri mrasa sneng bgt,tani kadang krja listrik klo panggilanbisa nonton podcast senyum sndiri mrasa sneng bgt,"['tani', 'kadang', 'krja', 'listrik', 'klo', 'panggilanbisa', 'nonton', 'podcast', 'senyum', 'sndiri', 'mrasa', 'sneng', 'bgt']",tani kadang krja listrik klo panggilanbisa nonton podcast senyum sndiri mrasa sneng bgt
@StarCrystal9,Pak Purbaya bukan asal bunyi. Beginilah seorang yang bermutu. Kita boleh merasa bangga.,1 day ago,3,pak purbaya bukan asal bunyi beginilah seorang yang bermutu kita boleh merasa bangga,pak purbaya bukan asal bunyi beginilah seorang bermutu boleh merasa bangga,pak purbaya bukan asal bunyi begini orang mutu boleh rasa bangga,"['pak', 'purbaya', 'bukan', 'asal', 'bunyi', 'begini', 'orang', 'mutu', 'boleh', 'rasa', 'bangga']",pak purbaya bukan asal bunyi begini orang mutu rasa bangga
@bedahbukuid,Kamu hebat,1 day ago,1,kamu hebat,kamu hebat,kamu hebat,"['kamu', 'hebat']",kamu hebat
@pasirpetichanel4535,Saya cuman kuli bangunan tapi bisa bisanya nonton sampai selesai obrolan begini❤❤❤❤😂,1 day ago,5,saya cuman kuli bangunan tapi bisa bisanya nonton sampai selesai obrolan begini,cuman kuli bangunan bisa bisanya nonton selesai obrolan begini,cuman kuli bangun bisa bisa nonton selesai obrol begini,"['cuman', 'kuli', 'bangun', 'bisa', 'bisa', 'nonton', 'selesai', 'obrol', 'begini']",cuman kuli bangun bisa nonton selesai obrol begini
@Potretfenomena,❤❤❤❤❤,20 hours ago,0,,,,[],
@tengkuluqman,Tpi harus ikutan hitung juga agar mampu belajar maksimal,20 hours ago,0,tpi harus ikutan hitung juga agar mampu belajar maksimal,tpi ikutan hitung agar mampu belajar maksimal,tpi ikut hitung agar mampu ajar maksimal,"['tpi', 'ikut', 'hitung', 'agar', 'mampu', 'ajar', 'maksimal']",tpi ikut hitung mampu ajar maksimal
@hariyadibudihardjo3976,Meskipun sudah Pensiunan 10 thn lalu mendengarkan ini sangat  senang sangat international dan masuk akan dan terbuka tdk berdasarkan pesan politik tertentu mantap gini ini .ok😊,14 hours ago,0,meskipun sudah pensiunan 10 thn lalu mendengarkan ini sangat senang sangat international dan masuk akan dan terbuka tdk berdasarkan pesan politik tertentu mantap gini ini ok,meskipun pensiunan thn lalu mendengarkan sangat senang sangat international masuk dan terbuka tdk berdasarkan pesan politik tertentu mantap gini ok,meski pensiun thn lalu dengar sangat senang sangat international masuk dan buka tdk dasar pesan politik tentu mantap gin ok,"['meski', 'pensiun', 'thn', 'lalu', 'dengar', 'sangat', 'senang', 'sangat', 'international', 'masuk', 'dan', 'buka', 'tdk', 'dasar', 'pesan', 'politik', 'tentu', 'mantap', 'gin', 'ok']",meski pensiun thn lalu dengar sangat senang sangat international masuk buka tdk dasar pesan politik mantap gin
@RepublikDagelan1,Barakallahu fiikum 🥹👍🏻,12 hours ago,0,barakallahu fiikum,barakallahu fiikum,barakallahu fiikum,"['barakallahu', 'fiikum']",barakallahu fiikum
@suamiistringevlog2022,"Seperti mendengar dosen diskusi , ngomong bukan bunyi aja tapi sesuai data dan berbobot, sehat selalu bapak💪🙏",10 hours ago,0,seperti mendengar dosen diskusi ngomong bukan bunyi aja tapi sesuai data dan berbobot sehat selalu bapak,mendengar dosen diskusi ngomong bukan bunyi aja sesuai data berbobot sehat selalu bapak,dengar dosen diskusi ngomong bukan bunyi aja sesuai data bobot sehat selalu bapak,"['dengar', 'dosen', 'diskusi', 'ngomong', 'bukan', 'bunyi', 'aja', 'sesuai', 'data', 'bobot', 'sehat', 'selalu', 'bapak']",dengar dosen diskusi ngomong bukan bunyi aja sesuai data bobot sehat selalu bapak
@FauziRama-ei2py,Salut buat pak Gita ini yg anak muda cari obrolan cerdas mantap,9 hours ago,0,salut buat pak gita ini yg anak muda cari obrolan cerdas mantap,salut buat pak gita yg anak muda cari obrolan cerdas mantap,salut buat pak gita yg anak muda cari obrol cerdas mantap,"['salut', 'buat', 'pak', 'gita', 'yg', 'anak', 'muda', 'cari', 'obrol', 'cerdas', 'mantap']",salut buat pak gita yg anak muda cari obrol cerdas mantap
@rullyibrahim1170,Alhamdulillah yg penting berkah insyaallah ALLAH akan buat mudah.,35 minutes ago,0,alhamdulillah yg penting berkah insyaallah allah akan buat mudah,alhamdulillah yg penting berkah insyaallah allah buat mudah,alhamdulillah yg penting berkah insyaallah allah buat mudah,"['alhamdulillah', 'yg', 'penting', 'berkah', 'insyaallah', 'allah', 'buat', 'mudah']",alhamdulillah yg penting berkah insyaallah allah buat mudah
@abdulmajiidsriadi1467,Saya hanya tukang listrik. Dengar obrolan orang ² pinter bahagia rasanya. MasyaAllah.. Barokallah fikum..!,14 minutes ago,0,saya hanya tukang listrik dengar obrolan orang pinter bahagia rasanya masyaallah barokallah fikum,hanya tukang listrik dengar obrolan orang pinter bahagia rasanya masyaallah barokallah fikum,hanya tukang listrik dengar obrol orang pinter bahagia rasa masyaallah barokallah fikum,"['hanya', 'tukang', 'listrik', 'dengar', 'obrol', 'orang', 'pinter', 'bahagia', 'rasa', 'masyaallah', 'barokallah', 'fikum']",tukang listrik dengar obrol orang pinter bahagia rasa masyaallah barokallah fikum
@cerdasbersama642,Kira2 bisa gak dapat obrolan seperti ini untuk orang2 DPR lulusan SMA? 😂,1 day ago,6,kira2 bisa gak dapat obrolan seperti ini untuk orang2 dpr lulusan sma,kira gak obrolan ini orang dpr lulusan sma,kira gak obrol ini orang dpr lulus sma,"['kira', 'gak', 'obrol', 'ini', 'orang', 'dpr', 'lulus', 'sma']",kira gak obrol orang dpr lulus sma
@rizkyfadzilla9600,​ @cerdasbersama642  kalo komedian?,1 day ago,2,kalo komedian,kalo komedian,kalo komedian,"['kalo', 'komedian']",kalo komedian
@aboenabil, @cerdasbersama642  1:23:20,1 day ago,1,12320,,,[],
@xiladelxia,SETUJU🤝,1 day ago,2,setuju,setuju,tuju,['tuju'],tuju
@ma.alamsyah,saya juga mendidih lagi api ingin kuliah lagi😁,1 day ago,5,saya juga mendidih lagi api ingin kuliah lagi,juga mendidih api kuliah,juga didih api kuliah,"['juga', 'didih', 'api', 'kuliah']",didih api kuliah
@karinawija5046,Superb,1 day ago,1,superb,superb,superb,['superb'],superb
@desywijaya1091,Terpanggil rasa nya,1 day ago,1,terpanggil rasa nya,terpanggil rasa nya,panggil rasa nya,"['panggil', 'rasa', 'nya']",panggil rasa nya
@ronaldalex3612,"Mau nikah...😂
Pak Purbaya mau nikah mesti kuliah lagi pdhl sdh kerja ... pasangan hidup bisa sangat membantu masa depan 👍",1 day ago,23,mau nikah pak purbaya mau nikah mesti kuliah lagi pdhl sdh kerja pasangan hidup bisa sangat membantu masa depan,mau nikah pak purbaya mau nikah mesti kuliah pdhl sdh kerja pasangan hidup sangat membantu masa depan,mau nikah pak purbaya mau nikah mesti kuliah pdhl sdh kerja pasang hidup sangat bantu masa depan,"['mau', 'nikah', 'pak', 'purbaya', 'mau', 'nikah', 'mesti', 'kuliah', 'pdhl', 'sdh', 'kerja', 'pasang', 'hidup', 'sangat', 'bantu', 'masa', 'depan']",mau nikah pak purbaya mau nikah mesti kuliah pdhl sdh kerja pasang hidup sangat bantu masa depan
@ascharta4816,belajar itu tidak mengenal batas usia gas kan selama kita ingin dan masih mampu,1 day ago,7,belajar itu tidak mengenal batas usia gas kan selama kita ingin dan masih mampu,belajar tidak mengenal batas usia gas kan selama ingin masih mampu,ajar tidak kenal batas usia gas kan lama ingin masih mampu,"['ajar', 'tidak', 'kenal', 'batas', 'usia', 'gas', 'kan', 'lama', 'ingin', 'masih', 'mampu']",ajar kenal batas usia gas kan lama masih mampu
